barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-09-0364-01A-02D-0508-04	1	200609726	200667381	22	-0.3042
TCGA-09-0364-01A-02D-0508-04	1	200668993	216843592	6149	-0.0041
TCGA-09-0364-01A-02D-0508-04	1	216849386	216958244	17	-0.3807
TCGA-09-0364-01A-02D-0508-04	1	216972078	227875096	3773	-0.0158
TCGA-09-0364-01A-02D-0508-04	1	227879152	227882805	4	-1.0053
TCGA-09-0364-01A-02D-0508-04	1	227889619	240485842	4915	-0.0203
TCGA-09-0364-01A-02D-0508-04	1	240489591	240566493	26	-0.3241
TCGA-09-0364-01A-02D-0508-04	1	240568872	244161571	1343	-0.0485
TCGA-09-0364-01A-02D-0508-04	1	244163494	244252162	41	0.2363
TCGA-09-0364-01A-02D-0508-04	1	244254023	246751473	1026	-0.0129
TCGA-09-0364-01A-02D-0508-04	1	246753652	246875016	34	0.3078
TCGA-09-0364-01A-02D-0508-04	1	246878405	247186514	95	-0.1024
TCGA-09-0364-01A-02D-0508-04	10	126361	26386157	9481	-0.4873
TCGA-09-0364-01A-02D-0508-04	10	26388466	26390878	3	-1.2887
TCGA-09-0364-01A-02D-0508-04	10	26392771	27038538	245	-0.4665
TCGA-09-0364-01A-02D-0508-04	10	27040181	27041812	2	-4.5612
TCGA-09-0364-01A-02D-0508-04	10	27043861	33061168	2157	-0.4621
TCGA-09-0364-01A-02D-0508-04	10	33062421	33069701	2	0.3844
TCGA-09-0364-01A-02D-0508-04	10	33070122	44168332	2169	-0.4776
TCGA-09-0364-01A-02D-0508-04	10	44170398	44971748	220	-1.1718
TCGA-09-0364-01A-02D-0508-04	10	44979017	65372305	5470	-0.4788
TCGA-09-0364-01A-02D-0508-04	10	65382626	65424035	7	-1.221
TCGA-09-0364-01A-02D-0508-04	10	65434375	69137638	1086	-0.4774
TCGA-09-0364-01A-02D-0508-04	10	69140321	77917893	3750	0.0192
TCGA-09-0364-01A-02D-0508-04	10	77926390	77928738	3	-1.7303
TCGA-09-0364-01A-02D-0508-04	10	77936034	113073027	12195	-0.008
TCGA-09-0364-01A-02D-0508-04	10	113078227	113105526	8	-1.2153
TCGA-09-0364-01A-02D-0508-04	10	113111219	124271613	4105	8e-04
TCGA-09-0364-01A-02D-0508-04	10	124274304	132797428	2969	-0.515
TCGA-09-0364-01A-02D-0508-04	10	132799212	132801463	2	-3.0734
TCGA-09-0364-01A-02D-0508-04	10	132802775	135285645	934	-0.5015
TCGA-09-0364-01A-02D-0508-04	11	187649	1936194	693	0.2432
TCGA-09-0364-01A-02D-0508-04	11	1938622	10107578	3340	-0.0383
TCGA-09-0364-01A-02D-0508-04	11	10117073	10119223	3	-1.2766
TCGA-09-0364-01A-02D-0508-04	11	10120884	10122176	2	-1.6568
TCGA-09-0364-01A-02D-0508-04	11	10123676	10123676	1	NA
TCGA-09-0364-01A-02D-0508-04	11	10126250	10529957	160	-0.0273
TCGA-09-0364-01A-02D-0508-04	11	10531624	10542217	6	-0.6407
TCGA-09-0364-01A-02D-0508-04	11	10543621	15888591	1899	-0.0131
TCGA-09-0364-01A-02D-0508-04	11	15892287	15938876	11	-0.5048
TCGA-09-0364-01A-02D-0508-04	11	15940828	18217970	982	-0.0033
TCGA-09-0364-01A-02D-0508-04	11	18220064	18241608	11	-0.4953
TCGA-09-0364-01A-02D-0508-04	11	18243946	18243946	1	NA
TCGA-09-0364-01A-02D-0508-04	11	18248086	27650012	2919	-0.0172
TCGA-09-0364-01A-02D-0508-04	11	27651562	27670966	8	-0.4664
TCGA-09-0364-01A-02D-0508-04	11	27672491	55123719	6870	-0.0108
TCGA-09-0364-01A-02D-0508-04	11	55124730	55209626	38	0.3565
TCGA-09-0364-01A-02D-0508-04	11	55217189	64477099	3748	-0.015
TCGA-09-0364-01A-02D-0508-04	11	64479035	64510166	13	-0.5674
TCGA-09-0364-01A-02D-0508-04	11	64511993	64511993	1	NA
TCGA-09-0364-01A-02D-0508-04	11	64514634	66463477	876	0.001
TCGA-09-0364-01A-02D-0508-04	11	66468725	66469412	2	1.0393
TCGA-09-0364-01A-02D-0508-04	11	66473397	69750801	1073	-0.0041
TCGA-09-0364-01A-02D-0508-04	11	69754380	69760985	2	-1.2213
TCGA-09-0364-01A-02D-0508-04	11	69763368	99025912	9779	-0.0105
TCGA-09-0364-01A-02D-0508-04	11	99027331	99074552	22	0.2311
TCGA-09-0364-01A-02D-0508-04	11	99076224	100725927	573	-0.0163
TCGA-09-0364-01A-02D-0508-04	11	100739209	102152400	527	-0.4184
TCGA-09-0364-01A-02D-0508-04	11	102154078	102362209	93	-0.0056
TCGA-09-0364-01A-02D-0508-04	11	102366085	102404396	8	-0.7123
TCGA-09-0364-01A-02D-0508-04	11	102405972	106727920	1317	-0.4695
TCGA-09-0364-01A-02D-0508-04	11	106729616	106787321	23	-0.1779
TCGA-09-0364-01A-02D-0508-04	11	106789265	107157031	170	-0.4521
TCGA-09-0364-01A-02D-0508-04	11	107160270	107176389	8	0.061
TCGA-09-0364-01A-02D-0508-04	11	107177546	134450318	10125	-0.4863
TCGA-09-0364-01A-02D-0508-04	12	33854	2106791	919	0.9726
TCGA-09-0364-01A-02D-0508-04	12	2109441	2109441	1	NA
TCGA-09-0364-01A-02D-0508-04	12	2115933	2127537	7	0.4145
TCGA-09-0364-01A-02D-0508-04	12	2128807	2189476	30	0.8974
TCGA-09-0364-01A-02D-0508-04	12	2191840	9523923	2785	1.1289
TCGA-09-0364-01A-02D-0508-04	12	9528590	9554149	5	2.4591
TCGA-09-0364-01A-02D-0508-04	12	9555181	9599999	8	1.521
TCGA-09-0364-01A-02D-0508-04	12	9604633	13316598	1492	1.1418
TCGA-09-0364-01A-02D-0508-04	12	13321089	13323673	2	0.1251
TCGA-09-0364-01A-02D-0508-04	12	13326566	24315531	3608	0.6167
TCGA-09-0364-01A-02D-0508-04	12	24319177	24319177	1	NA
TCGA-09-0364-01A-02D-0508-04	12	24320938	24738490	170	0.8224
TCGA-09-0364-01A-02D-0508-04	12	24748321	28952458	1527	0.6251
TCGA-09-0364-01A-02D-0508-04	12	28957034	31132762	600	0.3193
TCGA-09-0364-01A-02D-0508-04	12	31169263	31237505	17	0.8972
TCGA-09-0364-01A-02D-0508-04	12	31242528	32846574	668	0.3624
TCGA-09-0364-01A-02D-0508-04	12	32847202	32903519	24	0.6836
TCGA-09-0364-01A-02D-0508-04	12	32907663	32907663	1	NA
TCGA-09-0364-01A-02D-0508-04	12	32911771	34196129	293	0.3248
TCGA-09-0364-01A-02D-0508-04	12	34200106	36858944	32	-0.0278
TCGA-09-0364-01A-02D-0508-04	12	36874609	37052371	29	0.367
TCGA-09-0364-01A-02D-0508-04	12	37071423	38747626	511	0.5938
TCGA-09-0364-01A-02D-0508-04	12	38750399	38894366	37	0.2786
TCGA-09-0364-01A-02D-0508-04	12	38896869	43046222	1420	0.5999
TCGA-09-0364-01A-02D-0508-04	12	43050260	43996711	357	0.3341
TCGA-09-0364-01A-02D-0508-04	12	44002502	47353644	1072	0.0186
TCGA-09-0364-01A-02D-0508-04	12	47354533	47440155	43	0.2741
TCGA-09-0364-01A-02D-0508-04	12	47440942	47646565	111	0.0061
TCGA-09-0364-01A-02D-0508-04	12	47648964	48486678	368	-0.4421
TCGA-09-0364-01A-02D-0508-04	12	48488036	51976279	1565	0.3302
TCGA-09-0364-01A-02D-0508-04	12	51979261	55606972	1526	-0.4445
TCGA-09-0364-01A-02D-0508-04	12	55609548	56840951	562	-6e-04
TCGA-09-0364-01A-02D-0508-04	12	56851707	58932912	467	0.3193
TCGA-09-0364-01A-02D-0508-04	12	58936175	60794494	433	-0.4912
TCGA-09-0364-01A-02D-0508-04	12	60796393	60805568	6	-1.2342
TCGA-09-0364-01A-02D-0508-04	12	60807218	62848018	690	-0.4372
TCGA-09-0364-01A-02D-0508-04	12	62849928	63327970	220	0.0399
TCGA-09-0364-01A-02D-0508-04	12	63330914	64813839	578	-0.4303
TCGA-09-0364-01A-02D-0508-04	12	64817008	67100030	700	0.3565
TCGA-09-0364-01A-02D-0508-04	12	67105106	70663433	1443	0.8536
TCGA-09-0364-01A-02D-0508-04	12	70664964	71361553	268	0.5791
TCGA-09-0364-01A-02D-0508-04	12	71363623	77505835	1487	-0.4501
TCGA-09-0364-01A-02D-0508-04	12	77518440	77579531	11	-0.0026
TCGA-09-0364-01A-02D-0508-04	12	77586860	78600269	438	0.3281
TCGA-09-0364-01A-02D-0508-04	12	78601791	78676440	22	-0.5166
TCGA-09-0364-01A-02D-0508-04	12	78679297	78686371	4	0.1334
TCGA-09-0364-01A-02D-0508-04	12	78688893	94460210	4518	-0.4815
TCGA-09-0364-01A-02D-0508-04	12	94462910	94462910	1	NA
TCGA-09-0364-01A-02D-0508-04	12	94464340	94479686	6	0.0562
TCGA-09-0364-01A-02D-0508-04	12	94482550	98316278	1396	0.559
TCGA-09-0364-01A-02D-0508-04	12	98318378	98320165	3	-0.4393
TCGA-09-0364-01A-02D-0508-04	12	98327582	98329755	2	NA
TCGA-09-0364-01A-02D-0508-04	12	98330875	110666479	4787	0.523
TCGA-09-0364-01A-02D-0508-04	12	110668504	110799506	55	1.0659
TCGA-09-0364-01A-02D-0508-04	12	110802429	110802429	1	NA
TCGA-09-0364-01A-02D-0508-04	12	110803956	111986538	492	0.5816
TCGA-09-0364-01A-02D-0508-04	12	111989410	112004173	8	0.0517
TCGA-09-0364-01A-02D-0508-04	12	112008821	120805873	3240	0.5253
TCGA-09-0364-01A-02D-0508-04	12	120806897	120810710	2	-0.5039
TCGA-09-0364-01A-02D-0508-04	12	120812093	126053099	1857	0.6035
TCGA-09-0364-01A-02D-0508-04	12	126054936	126059767	2	-0.5213
TCGA-09-0364-01A-02D-0508-04	12	126064824	126068451	2	0.3485
TCGA-09-0364-01A-02D-0508-04	12	126072577	126647991	96	0.7544
TCGA-09-0364-01A-02D-0508-04	12	126650825	130943064	1583	0.5029
TCGA-09-0364-01A-02D-0508-04	12	130944468	130946248	2	2.4587
TCGA-09-0364-01A-02D-0508-04	12	130947790	132018340	448	0.5363
TCGA-09-0364-01A-02D-0508-04	12	132019652	132289090	102	1.1347
TCGA-09-0364-01A-02D-0508-04	13	18194544	23348229	1720	-0.453
TCGA-09-0364-01A-02D-0508-04	13	23350520	24043107	263	0.2247
TCGA-09-0364-01A-02D-0508-04	13	24063136	24068006	3	0.8259
TCGA-09-0364-01A-02D-0508-04	13	24069683	27589262	1484	0.285
TCGA-09-0364-01A-02D-0508-04	13	27591531	27594567	2	-1.1994
TCGA-09-0364-01A-02D-0508-04	13	27604497	32980558	2106	0.3316
TCGA-09-0364-01A-02D-0508-04	13	32982333	33060834	26	0.0179
TCGA-09-0364-01A-02D-0508-04	13	33063388	40474056	2742	0.3221
TCGA-09-0364-01A-02D-0508-04	13	40475380	53582699	5157	0.6145
TCGA-09-0364-01A-02D-0508-04	13	53586708	54373780	147	0.9451
TCGA-09-0364-01A-02D-0508-04	13	54388964	55726637	213	0.5127
TCGA-09-0364-01A-02D-0508-04	13	55732015	55831074	21	0.9538
TCGA-09-0364-01A-02D-0508-04	13	55837562	56227638	67	0.5324
TCGA-09-0364-01A-02D-0508-04	13	56242758	56303008	7	1.1649
TCGA-09-0364-01A-02D-0508-04	13	56311706	56568753	52	0.941
TCGA-09-0364-01A-02D-0508-04	13	56572899	56663137	20	0.5286
TCGA-09-0364-01A-02D-0508-04	13	56664197	56686863	11	0.8804
TCGA-09-0364-01A-02D-0508-04	13	56688605	57074727	71	0.5315
TCGA-09-0364-01A-02D-0508-04	13	57079893	68138912	2621	-0.0228
TCGA-09-0364-01A-02D-0508-04	13	68142120	68163523	11	0.3109
TCGA-09-0364-01A-02D-0508-04	13	68167758	68968011	179	-0.0319
TCGA-09-0364-01A-02D-0508-04	13	68978733	69181378	44	0.6141
TCGA-09-0364-01A-02D-0508-04	13	69182637	69182637	1	NA
TCGA-09-0364-01A-02D-0508-04	13	69186187	69188673	2	0.2317
TCGA-09-0364-01A-02D-0508-04	13	69189804	89659397	5323	0.998
TCGA-09-0364-01A-02D-0508-04	13	89661345	89662326	2	2.5546
TCGA-09-0364-01A-02D-0508-04	13	89663261	100690991	4785	0.9984
TCGA-09-0364-01A-02D-0508-04	13	100692746	100693892	2	-3.7219
TCGA-09-0364-01A-02D-0508-04	13	100695073	107004737	1895	1.0387
TCGA-09-0364-01A-02D-0508-04	13	107005520	107129327	71	0.7869
TCGA-09-0364-01A-02D-0508-04	13	107131320	107181600	31	1.1077
TCGA-09-0364-01A-02D-0508-04	13	107183503	107352307	83	0.7829
TCGA-09-0364-01A-02D-0508-04	13	107356072	109655279	747	0.3082
TCGA-09-0364-01A-02D-0508-04	13	109657139	112648590	1111	-0.0797
TCGA-09-0364-01A-02D-0508-04	13	112654227	113474906	381	-0.4543
TCGA-09-0364-01A-02D-0508-04	13	113479204	113479204	1	NA
TCGA-09-0364-01A-02D-0508-04	13	113482873	113502465	8	-0.0133
TCGA-09-0364-01A-02D-0508-04	13	113505943	114123340	234	-0.4673
TCGA-09-0364-01A-02D-0508-04	14	18446762	18544772	6	0.623
TCGA-09-0364-01A-02D-0508-04	14	18798641	19490630	52	0.1164
TCGA-09-0364-01A-02D-0508-04	14	19492531	21444352	954	0.3515
TCGA-09-0364-01A-02D-0508-04	14	21445390	22051630	301	0.6418
TCGA-09-0364-01A-02D-0508-04	14	22052799	22544260	221	0.3501
TCGA-09-0364-01A-02D-0508-04	14	22545671	22552528	6	0.8043
TCGA-09-0364-01A-02D-0508-04	14	22554737	29921511	2163	0.3142
TCGA-09-0364-01A-02D-0508-04	14	29925314	29990135	13	-0.0272
TCGA-09-0364-01A-02D-0508-04	14	29993780	34674458	2034	0.3658
TCGA-09-0364-01A-02D-0508-04	14	34676390	34683810	3	1.3469
TCGA-09-0364-01A-02D-0508-04	14	34685308	36770415	879	0.3532
TCGA-09-0364-01A-02D-0508-04	14	36771449	40676611	1016	0.6025
TCGA-09-0364-01A-02D-0508-04	14	40680589	40704122	5	-0.1115
TCGA-09-0364-01A-02D-0508-04	14	40712006	50019866	2316	0.5573
TCGA-09-0364-01A-02D-0508-04	14	50022547	51839000	738	0.3047
TCGA-09-0364-01A-02D-0508-04	14	51840025	53651980	586	0.6055
TCGA-09-0364-01A-02D-0508-04	14	53657493	62696332	3475	0.3053
TCGA-09-0364-01A-02D-0508-04	14	62711210	73061942	4651	-0.0388
TCGA-09-0364-01A-02D-0508-04	14	73071404	73112029	13	-0.4338
TCGA-09-0364-01A-02D-0508-04	14	73112042	90324694	6147	-0.0697
TCGA-09-0364-01A-02D-0508-04	14	90328206	90335023	4	-1.2102
TCGA-09-0364-01A-02D-0508-04	14	90337807	98245828	2978	-0.0945
TCGA-09-0364-01A-02D-0508-04	14	98248228	98264620	8	-0.5772
TCGA-09-0364-01A-02D-0508-04	14	98266540	105594189	3071	-0.0881
TCGA-09-0364-01A-02D-0508-04	14	105595302	105681007	16	0.3765
TCGA-09-0364-01A-02D-0508-04	14	105703388	105948347	70	-0.1416
TCGA-09-0364-01A-02D-0508-04	14	105951399	105989160	13	-1.3396
TCGA-09-0364-01A-02D-0508-04	14	105994646	106358491	146	-0.1026
TCGA-09-0364-01A-02D-0508-04	15	18362555	37019640	5257	-0.1444
TCGA-09-0364-01A-02D-0508-04	15	37023777	37064662	10	-0.5561
TCGA-09-0364-01A-02D-0508-04	15	37066708	38914959	789	-0.0821
TCGA-09-0364-01A-02D-0508-04	15	38918454	38971237	30	-0.5305
TCGA-09-0364-01A-02D-0508-04	15	38974069	44609417	2524	-0.098
TCGA-09-0364-01A-02D-0508-04	15	44614194	44628905	2	-1.0517
TCGA-09-0364-01A-02D-0508-04	15	44635963	48214800	1550	-0.1215
TCGA-09-0364-01A-02D-0508-04	15	48216641	48299253	32	-0.5743
TCGA-09-0364-01A-02D-0508-04	15	48301638	49415169	507	-0.0877
TCGA-09-0364-01A-02D-0508-04	15	49416568	49469977	30	-0.7069
TCGA-09-0364-01A-02D-0508-04	15	49471028	53441637	1570	-0.1003
TCGA-09-0364-01A-02D-0508-04	15	53442883	53443742	2	-1.0405
TCGA-09-0364-01A-02D-0508-04	15	53444740	59468560	2678	-0.0952
TCGA-09-0364-01A-02D-0508-04	15	59475528	59483715	3	-0.8294
TCGA-09-0364-01A-02D-0508-04	15	59488251	63287459	1739	-0.0972
TCGA-09-0364-01A-02D-0508-04	15	63288849	63303967	8	-0.6131
TCGA-09-0364-01A-02D-0508-04	15	63305589	98232932	13677	-0.1184
TCGA-09-0364-01A-02D-0508-04	15	98234519	98239454	3	-1.0691
TCGA-09-0364-01A-02D-0508-04	15	98243586	98309561	20	0.0299
TCGA-09-0364-01A-02D-0508-04	15	98311498	99632987	617	-0.1725
TCGA-09-0364-01A-02D-0508-04	15	99634434	99635701	2	1.4507
TCGA-09-0364-01A-02D-0508-04	15	99636724	100298352	272	-0.1832
TCGA-09-0364-01A-02D-0508-04	16	33628	21258019	7255	0.2086
TCGA-09-0364-01A-02D-0508-04	16	21382540	21501073	10	-0.3549
TCGA-09-0364-01A-02D-0508-04	16	21504151	22338034	283	0.2425
TCGA-09-0364-01A-02D-0508-04	16	22541389	22609825	10	-0.3064
TCGA-09-0364-01A-02D-0508-04	16	22617217	22617217	1	NA
TCGA-09-0364-01A-02D-0508-04	16	22625780	31862577	3013	0.2001
TCGA-09-0364-01A-02D-0508-04	16	32379126	33868686	52	-0.4046
TCGA-09-0364-01A-02D-0508-04	16	34054713	34056516	2	NA
TCGA-09-0364-01A-02D-0508-04	16	34058222	54287873	3044	0.2355
TCGA-09-0364-01A-02D-0508-04	16	54290183	54478841	63	-0.0549
TCGA-09-0364-01A-02D-0508-04	16	54480444	64827378	2810	0.2085
TCGA-09-0364-01A-02D-0508-04	16	64837387	67107620	1061	-0.108
TCGA-09-0364-01A-02D-0508-04	16	67113059	68693086	695	0.3014
TCGA-09-0364-01A-02D-0508-04	16	68710277	68753209	10	-0.3247
TCGA-09-0364-01A-02D-0508-04	16	68838384	72918129	1453	0.2379
TCGA-09-0364-01A-02D-0508-04	16	72929786	72956298	5	-0.5117
TCGA-09-0364-01A-02D-0508-04	16	72963578	72963578	1	NA
TCGA-09-0364-01A-02D-0508-04	16	72964783	73787149	317	0.2421
TCGA-09-0364-01A-02D-0508-04	16	73789765	73812685	10	-0.1905
TCGA-09-0364-01A-02D-0508-04	16	73815706	76925748	1041	0.2143
TCGA-09-0364-01A-02D-0508-04	16	76929598	76940218	8	1.1403
TCGA-09-0364-01A-02D-0508-04	16	76942679	88690571	4513	0.1918
TCGA-09-0364-01A-02D-0508-04	17	47546	1028979	417	-0.4683
TCGA-09-0364-01A-02D-0508-04	17	1030715	1030766	2	0.9465
TCGA-09-0364-01A-02D-0508-04	17	1031233	15727076	5883	-0.4777
TCGA-09-0364-01A-02D-0508-04	17	15731356	15733964	2	-3.149
TCGA-09-0364-01A-02D-0508-04	17	15737241	21123341	1816	-0.4539
TCGA-09-0364-01A-02D-0508-04	17	21126878	21201106	30	-0.6688
TCGA-09-0364-01A-02D-0508-04	17	21204422	21243246	18	-0.4443
TCGA-09-0364-01A-02D-0508-04	17	21244934	21318207	18	-0.6995
TCGA-09-0364-01A-02D-0508-04	17	21325758	31461588	3852	-0.4512
TCGA-09-0364-01A-02D-0508-04	17	31462463	31503774	18	-0.8762
TCGA-09-0364-01A-02D-0508-04	17	31889566	32828797	365	-0.4368
TCGA-09-0364-01A-02D-0508-04	17	32830127	32832642	2	-3.1043
TCGA-09-0364-01A-02D-0508-04	17	32833765	36673853	1448	-0.4259
TCGA-09-0364-01A-02D-0508-04	17	36675987	36684619	6	-1.852
TCGA-09-0364-01A-02D-0508-04	17	36686013	36686013	1	NA
TCGA-09-0364-01A-02D-0508-04	17	36687917	41566540	2031	-0.4313
TCGA-09-0364-01A-02D-0508-04	17	41568539	41700762	41	-0.878
TCGA-09-0364-01A-02D-0508-04	17	41702238	41702238	1	NA
TCGA-09-0364-01A-02D-0508-04	17	41704093	57119828	5479	-0.4542
TCGA-09-0364-01A-02D-0508-04	17	57125561	57153730	11	0.2276
TCGA-09-0364-01A-02D-0508-04	17	57155429	69677175	4403	-0.0111
TCGA-09-0364-01A-02D-0508-04	17	69683073	77850243	3429	0.3175
TCGA-09-0364-01A-02D-0508-04	17	77854695	77897058	19	-2.2156
TCGA-09-0364-01A-02D-0508-04	17	77898196	78653545	342	0.3163
TCGA-09-0364-01A-02D-0508-04	18	4316	500897	175	0.0207
TCGA-09-0364-01A-02D-0508-04	18	503208	505456	2	1.2105
TCGA-09-0364-01A-02D-0508-04	18	506827	17813611	5274	0.0222
TCGA-09-0364-01A-02D-0508-04	18	17825691	17880323	17	-0.4594
TCGA-09-0364-01A-02D-0508-04	18	17883084	34423703	5084	8e-04
TCGA-09-0364-01A-02D-0508-04	18	34427487	34434496	2	NA
TCGA-09-0364-01A-02D-0508-04	18	34445846	53092949	5645	-0.4888
TCGA-09-0364-01A-02D-0508-04	18	53097842	53099601	2	0.9137
TCGA-09-0364-01A-02D-0508-04	18	53101512	55768717	1085	-0.468
TCGA-09-0364-01A-02D-0508-04	18	55770229	55874141	43	-1.1797
TCGA-09-0364-01A-02D-0508-04	18	55877681	62746197	1840	-0.4828
TCGA-09-0364-01A-02D-0508-04	18	62748006	62748006	1	NA
TCGA-09-0364-01A-02D-0508-04	18	62751796	67619025	1184	-0.0324
TCGA-09-0364-01A-02D-0508-04	18	67627281	76116026	2610	0.2828
TCGA-09-0364-01A-02D-0508-04	19	210395	6672905	2991	-0.428
TCGA-09-0364-01A-02D-0508-04	19	6674276	15531257	4015	0.2738
TCGA-09-0364-01A-02D-0508-04	19	15532615	16513186	431	-0.0574
TCGA-09-0364-01A-02D-0508-04	19	16515296	16854254	169	0.5167
TCGA-09-0364-01A-02D-0508-04	19	16856147	16858458	2	-0.462
TCGA-09-0364-01A-02D-0508-04	19	16860504	19128397	1098	0.5203
TCGA-09-0364-01A-02D-0508-04	19	19131495	19779732	352	-0.0105
TCGA-09-0364-01A-02D-0508-04	19	19781237	52031800	8550	0.2836
TCGA-09-0364-01A-02D-0508-04	19	52033051	54166409	1036	-0.0481
TCGA-09-0364-01A-02D-0508-04	19	54167848	54193195	14	0.3128
TCGA-09-0364-01A-02D-0508-04	19	54194680	55769042	697	-0.0427
TCGA-09-0364-01A-02D-0508-04	19	55770195	55772729	2	-2.3724
TCGA-09-0364-01A-02D-0508-04	19	55776055	56823430	516	-0.0872
TCGA-09-0364-01A-02D-0508-04	19	56825794	56840346	8	-1.2501
TCGA-09-0364-01A-02D-0508-04	19	56842447	59414898	1174	-0.043
TCGA-09-0364-01A-02D-0508-04	19	59421197	59434202	10	-0.8369
TCGA-09-0364-01A-02D-0508-04	19	59440262	59523778	39	-0.2871
TCGA-09-0364-01A-02D-0508-04	19	59525013	63116783	1621	-0.0418
TCGA-09-0364-01A-02D-0508-04	19	63118396	63788698	334	0.2652
TCGA-09-0364-01A-02D-0508-04	2	7019	20229868	5875	0.5603
TCGA-09-0364-01A-02D-0508-04	2	20231737	20236210	3	-0.2516
TCGA-09-0364-01A-02D-0508-04	2	20237659	31959635	4467	0.5952
TCGA-09-0364-01A-02D-0508-04	2	31961903	32025993	31	0.1306
