File Column Name,Field Type,Entity Type,CDE ID,CDE Version,Annotation Def Name,Data Type,Permissible,Visible
ADDITIONALCHEMOTHERAPY,annotation,subject,,,ADDITIONALCHEMOTHERAPY,string,yes,yes
ADDITIONALIMMUNOTHERAPY,annotation,subject,,,ADDITIONALIMMUNOTHERAPY,string,yes,yes
ADDITIONALHORMONETHERAPY,annotation,subject,,,ADDITIONALHORMONETHERAPY,string,yes,yes
ADDITIONALDRUGTHERAPY,annotation,subject,,,ADDITIONALDRUGTHERAPY,string,yes,yes
ANATOMICORGANSUBDIVISION,annotation,subject,,,ANATOMICORGANSUBDIVISION,string,yes,yes
INITIALPATHOLOGICDIAGNOSISMETHOD,annotation,subject,,,INITIALPATHOLOGICDIAGNOSISMETHOD,string,yes,yes
PERSONNEOPLASMCANCERSTATUS,annotation,subject,,,PERSONNEOPLASMCANCERSTATUS,string,yes,yes
DAYSTOPROCEDURE1,annotation,subject,,,DAYSTOPROCEDURE1,numeric,no,yes
PROCEDURETYPE1,annotation,subject,,,PROCEDURETYPE1,string,yes,yes
DAYSTOPROCEDURE2,annotation,subject,,,DAYSTOPROCEDURE2,numeric,no,yes
PROCEDURETYPE2,annotation,subject,,,PROCEDURETYPE2,string,yes,yes
DAYSTOPROCEDURE3,annotation,subject,,,DAYSTOPROCEDURE3,numeric,no,yes
PROCEDURETYPE3,annotation,subject,,,PROCEDURETYPE3,string,yes,yes
DAYSTORADIATIONTREATMENTSTART1,annotation,subject,,,DAYSTORADIATIONTREATMENTSTART1,numeric,no,yes
DAYSTORADIATIONTREATMENTEND1,annotation,subject,,,DAYSTORADIATIONTREATMENTEND1,numeric,no,yes
RADIATIONTYPE1,annotation,subject,,,RADIATIONTYPE1,string,yes,yes
RADIATIONDOSAGE1,annotation,subject,,,RADIATIONDOSAGE1,numeric,no,yes
UNITS1,annotation,subject,,,UNITS1,string,yes,yes
NUMFRACTIONS1,annotation,subject,,,NUMFRACTIONS1,numeric,no,yes
ANATOMICTREATMENTSITE1,annotation,subject,,,ANATOMICTREATMENTSITE1,string,yes,yes
REGIMENINDICATION1,annotation,subject,,,REGIMENINDICATION1,string,yes,yes
RADIATIONTREATMENTONGOING1,annotation,subject,,,RADIATIONTREATMENTONGOING1,string,yes,yes
DAYSTORADIATIONTREATMENTSTART2,annotation,subject,,,DAYSTORADIATIONTREATMENTSTART2,string,yes,yes
DAYSTORADIATIONTREATMENTEND2,annotation,subject,,,DAYSTORADIATIONTREATMENTEND2,string,yes,yes
RADIATIONTYPE2,annotation,subject,,,RADIATIONTYPE2,string,yes,yes
RADIATIONDOSAGE2,annotation,subject,,,RADIATIONDOSAGE2,string,yes,yes
UNITS2,annotation,subject,,,UNITS2,string,yes,yes
NUMFRACTIONS2,annotation,subject,,,NUMFRACTIONS2,string,yes,yes
ANATOMICTREATMENTSITE2,annotation,subject,,,ANATOMICTREATMENTSITE2,string,yes,yes
REGIMENINDICATION2,annotation,subject,,,REGIMENINDICATION2,string,yes,yes
RADIATIONTREATMENTONGOING2,annotation,subject,,,RADIATIONTREATMENTONGOING2,string,yes,yes
DAYSTORADIATIONTREATMENTSTART3,annotation,subject,,,DAYSTORADIATIONTREATMENTSTART3,string,yes,yes
DAYSTORADIATIONTREATMENTEND3,annotation,subject,,,DAYSTORADIATIONTREATMENTEND3,string,yes,yes
RADIATIONTYPE3,annotation,subject,,,RADIATIONTYPE3,string,yes,yes
RADIATIONDOSAGE3,annotation,subject,,,RADIATIONDOSAGE3,string,yes,yes
UNITS3,annotation,subject,,,UNITS3,string,yes,yes
NUMFRACTIONS3,annotation,subject,,,NUMFRACTIONS3,string,yes,yes
ANATOMICTREATMENTSITE3,annotation,subject,,,ANATOMICTREATMENTSITE3,string,yes,yes
REGIMENINDICATION3,annotation,subject,,,REGIMENINDICATION3,string,yes,yes
RADIATIONTREATMENTONGOING3,annotation,subject,,,RADIATIONTREATMENTONGOING3,string,yes,yes
LASTCOLUMN,annotation,subject,,,LASTCOLUMN,string,yes,yes
